DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
11-Jun-2025,32,18,13,9,2,10,T10,Excalibur 6,3711
10-Jun-2025,25,7,32,15,24,4,T10,Excalibur 6,3710
07-Jun-2025,39,13,5,1,17,8,T9,Excalibur 6,3709
06-Jun-2025,34,14,32,3,31,6,T9,Excalibur 6,3708
04-Jun-2025,14,1,13,23,28,14,T9,Excalibur 6,3707
03-Jun-2025,17,11,20,1,9,5,T9,Excalibur 6,3706
31-May-2025,26,5,18,3,13,2,T8,Excalibur 5,3705
30-May-2025,26,21,16,34,25,14,T8,Excalibur 5,3704
28-May-2025,3,28,18,8,7,9,T8,Excalibur 5,3703
27-May-2025,2,28,3,15,36,9,T8,Excalibur 5,3702
24-May-2025,29,37,14,26,15,8,T7,Excalibur 5,3701
23-May-2025,30,24,4,12,6,10,T7,Excalibur 5,3700
21-May-2025,12,34,20,6,33,4,T7,Excalibur 5,3699
20-May-2025,11,4,39,38,13,8,T7,Excalibur 5,3698
17-May-2025,17,32,15,24,28,11,T6,Excalibur 4,3697
16-May-2025,28,36,25,3,27,13,T6,Excalibur 4,3696
14-May-2025,32,7,37,4,27,10,T6,Excalibur 4,3695
13-May-2025,13,21,31,30,8,2,T6,Excalibur 4,3694
10-May-2025,26,3,36,15,30,1,T5,Excalibur 4,3693
09-May-2025,9,35,23,25,26,12,T5,Excalibur 4,3692
07-May-2025,38,26,4,16,18,12,T5,Excalibur 4,3691
06-May-2025,3,37,2,20,8,7,T5,Excalibur 4,3690
03-May-2025,38,19,4,26,33,7,T8,Excalibur 6,3689
02-May-2025,35,37,4,1,6,6,T8,Excalibur 6,3688
30-Apr-2025,21,19,29,34,1,13,T8,Excalibur 6,3687
29-Apr-2025,24,2,4,23,15,7,T8,Excalibur 6,3686
26-Apr-2025,33,20,12,38,19,14,T7,Excalibur 6,3685
25-Apr-2025,8,5,37,9,23,3,T7,Excalibur 6,3684
23-Apr-2025,20,22,34,1,8,2,T7,Excalibur 6,3683
22-Apr-2025,28,29,16,8,4,14,T7,Excalibur 6,3682
19-Apr-2025,20,18,14,12,38,4,T6,Excalibur 5,3681
18-Apr-2025,15,24,36,1,13,14,T6,Excalibur 5,3680
16-Apr-2025,39,24,34,28,35,11,T6,Excalibur 5,3679
15-Apr-2025,23,31,8,36,15,14,T6,Excalibur 5,3678
12-Apr-2025,23,11,35,18,24,9,T5,Excalibur 5,3677
11-Apr-2025,3,19,23,20,36,6,T5,Excalibur 5,3676
09-Apr-2025,9,18,13,16,25,3,T5,Excalibur 5,3675
08-Apr-2025,9,34,23,25,6,3,T5,Excalibur 5,3674
05-Apr-2025,18,32,19,22,33,7,T8,Excalibur 4,3673
04-Apr-2025,17,23,25,18,34,12,T8,Excalibur 4,3672
02-Apr-2025,6,34,4,26,1,11,T8,Excalibur 4,3671
01-Apr-2025,30,23,19,31,22,14,T8,Excalibur 4,3670
29-Mar-2025,4,13,21,9,35,12,T7,Excalibur 4,3669
28-Mar-2025,9,15,20,36,38,3,T7,Excalibur 4,3668
26-Mar-2025,24,15,19,34,23,1,T7,Excalibur 4,3667
25-Mar-2025,6,4,35,3,13,9,T7,Excalibur 4,3666
22-Mar-2025,5,38,39,11,16,6,T6,Excalibur 6,3665
21-Mar-2025,7,3,11,29,12,3,T6,Excalibur 6,3664
19-Mar-2025,26,28,39,34,14,14,T6,Excalibur 6,3663
18-Mar-2025,20,27,36,26,33,12,T6,Excalibur 6,3662
15-Mar-2025,17,36,34,15,14,14,T5,Excalibur 6,3661
14-Mar-2025,19,17,21,11,15,12,T5,Excalibur 6,3660
12-Mar-2025,20,35,36,29,10,10,T5,Excalibur 6,3659
11-Mar-2025,33,2,17,35,30,14,T5,Excalibur 6,3658
08-Mar-2025,12,25,30,31,28,2,T4,Excalibur 5,3657
07-Mar-2025,21,23,36,10,30,5,T4,Excalibur 5,3656
05-Mar-2025,31,16,1,36,21,3,T4,Excalibur 5,3655
04-Mar-2025,34,17,25,38,28,1,T4,Excalibur 5,3654
01-Mar-2025,3,2,21,17,28,1,T3,Excalibur 5,3653
28-Feb-2025,37,20,30,10,36,4,T3,Excalibur 5,3652
26-Feb-2025,17,15,13,33,14,6,T3,Excalibur 5,3651
25-Feb-2025,30,17,37,2,24,13,T3,Excalibur 5,3650
22-Feb-2025,7,18,29,27,39,14,T2,Excalibur 4,3649
21-Feb-2025,37,21,24,19,3,4,T2,Excalibur 4,3648
19-Feb-2025,21,23,11,10,3,10,T2,Excalibur 4,3647
18-Feb-2025,38,14,26,10,22,2,T2,Excalibur 4,3646
15-Feb-2025,24,31,19,12,3,11,T1,Excalibur 4,3645
14-Feb-2025,13,25,36,24,11,4,T1,Excalibur 4,3644
12-Feb-2025,36,20,3,11,33,10,T1,Excalibur 4,3643
11-Feb-2025,14,29,12,24,13,13,T1,Excalibur 4,3642
08-Feb-2025,34,8,28,5,23,12,T4,Excalibur 6,3641
07-Feb-2025,38,12,16,14,35,7,T4,Excalibur 6,3640
05-Feb-2025,39,27,13,38,22,8,T4,Excalibur 6,3639
04-Feb-2025,2,27,18,6,38,8,T4,Excalibur 6,3638
